,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,0.0,2.176851974505531,1.7704633255698827,0.2313708779678514,0.0
1,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,1.0,0.16203919999830013,0.18631477441088123,0.008036870162884846,0.0
2,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,2.0,2.1076357086824986,1.7276151308642285,0.21415383583605452,0.0
3,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,3.0,0.27746616462657286,0.1936569790704926,0.08913333121723974,0.0
4,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,4.0,0.1042038316826331,0.10827733121484992,0.05802717939244955,0.0
5,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,5.0,0.1042038316826331,0.10827733121484992,0.05802717939244955,0.0
6,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,6.0,0.19063754673587743,0.14791271686777158,0.05667012777832612,0.0
7,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,7.0,0.17014717900428938,0.13271113717548425,0.054755552722305104,0.0
8,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,8.0,0.17995864191316566,0.14775193798857802,0.007477714967567134,0.0
9,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,9.0,0.15664959199000608,0.16289036240148713,0.05299569006187255,0.0
10,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,10.0,0.15664959199000608,0.16289036240148713,0.05299569006187255,1.0
11,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,11.0,0.15664959199000608,0.16289036240148713,0.05299569006187255,1.0
12,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,12.0,0.15664959199000608,0.16289036240148713,0.05299569006187255,1.0
13,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,13.0,0.15664959199000608,0.16289036240148713,0.05299569006187255,1.0
14,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,14.0,0.27037699966790874,0.2691860903282147,0.05427709238190479,1.0
15,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,15.0,0.27037699966790874,0.2691860903282147,0.05427709238190479,1.0
16,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,16.0,0.11237337339411763,0.11431118383564862,0.05676997832627641,1.0
17,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,17.0,0.17784485382521278,0.15898696750227442,0.053576981112904494,1.0
18,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,18.0,0.08796880840129719,0.06934444349552782,0.005294881477538038,1.0
19,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,19.0,0.09190528092883472,0.09690882922872215,0.057234208760463465,1.0
20,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,20.0,0.1042038316826331,0.10827733121484992,0.05802717939244955,2.0
21,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,21.0,0.19063754673587743,0.14791271686777158,0.05667012777832612,2.0
22,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,22.0,0.17014717900428938,0.13271113717548425,0.054755552722305104,2.0
23,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,23.0,0.17995864191316566,0.14775193798857802,0.007477714967567134,2.0
24,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,24.0,0.1896269521790955,0.15210516160308235,0.060168469276896605,2.0
25,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,25.0,0.17784485382521278,0.15898696750227442,0.053576981112904494,2.0
26,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,26.0,0.2940280383973353,0.2747316907449271,0.05413166666818356,2.0
27,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,27.0,0.1565374114413667,0.12062127135543499,0.055617501096600706,2.0
28,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,28.0,0.17800099752812434,0.13676346924806893,0.0,2.0
29,8.59375,8.9453125,0.60546875,1,4.83203125,0.36328125,29.0,0.04513358763848796,0.04258558397886515,0.05440764391204624,2.0
30,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,30.0,0.1042038316826331,0.10827733121484992,0.05802717939244955,3.0
31,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,31.0,0.17995864191316566,0.14775193798857802,0.007477714967567134,3.0
32,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,32.0,0.11237337339411763,0.11431118383564862,0.05676997832627641,3.0
33,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,33.0,0.11237337339411763,0.11431118383564862,0.05676997832627641,3.0
34,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,34.0,0.270383675691015,0.15192216662450797,0.05575608719483732,3.0
35,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,35.0,0.17784485382521278,0.15898696750227442,0.053576981112904494,3.0
36,8.59375,6.8359375,0.60546875,1,6.30859375,0.36328125,36.0,0.212198701624581,0.16127163801948272,0.05624666068585859,3.0
37,8.59375,8.9453125,0.54296875,1,6.30859375,0.36328125,37.0,0.16244389894985384,0.1849452356720937,0.054644434896468363,3.0
38,8.59375,8.9453125,0.60546875,3,6.30859375,0.36328125,38.0,0.10410802051350469,0.10979120416968247,0.00538814933041562,3.0
